epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2198.6,0.7211,0.51737,1.11912,0.9861,0.95916,0.98164,0.82419,0.67875,0.44377,1.0643,0.00133693,0.00133693,0.00133693
62,2233.81,0.69914,0.47119,1.10175,0.98085,0.94702,0.98437,0.82201,0.6713,0.4427,1.05411,0.00133143,0.00133143,0.00133143
63,2268.07,0.72685,0.49489,1.12074,0.98232,0.9625,0.98637,0.81837,0.69713,0.43291,1.0576,0.00132593,0.00132593,0.00132593
64,2302.9,0.71572,0.48356,1.11511,0.99442,0.94958,0.98849,0.83446,0.64919,0.4181,1.05107,0.00132043,0.00132043,0.00132043
65,2337.82,0.69747,0.47831,1.08283,0.97952,0.95977,0.98792,0.84217,0.61667,0.4139,1.0144,0.00131493,0.00131493,0.00131493
66,2448.78,0.66798,0.46911,1.08612,0.96799,0.96889,0.98187,0.82618,0.64907,0.42411,1.03487,0.00130943,0.00130943,0.00130943
67,2525.47,0.64377,0.45371,1.06562,0.98771,0.96953,0.98663,0.83309,0.62991,0.40425,1.03304,0.00130393,0.00130393,0.00130393
68,2560.24,0.68821,0.46804,1.08682,0.99442,0.95662,0.98647,0.85022,0.62791,0.42264,1.02402,0.00129843,0.00129843,0.00129843
69,2594.84,0.70116,0.46255,1.08335,0.98177,0.96148,0.98727,0.83295,0.60886,0.41029,1.02185,0.00129293,0.00129293,0.00129293
70,2629.45,0.65189,0.46266,1.05635,0.98475,0.96474,0.98604,0.84176,0.61699,0.39941,1.0291,0.00128742,0.00128742,0.00128742
71,2664.06,0.65882,0.46915,1.08564,0.98117,0.96434,0.99056,0.8345,0.63865,0.39078,1.01788,0.00128192,0.00128192,0.00128192
72,2698.61,0.68203,0.4536,1.06125,0.9827,0.9536,0.98886,0.82998,0.68702,0.42385,1.05653,0.00127642,0.00127642,0.00127642
73,2732.91,0.70163,0.47065,1.11146,0.98524,0.95979,0.99209,0.8268,0.67194,0.40083,1.03342,0.00127092,0.00127092,0.00127092
74,2767.16,0.64941,0.44861,1.06872,0.98964,0.9625,0.99137,0.84725,0.60627,0.39815,1.01891,0.00126542,0.00126542,0.00126542
75,2801.66,0.65089,0.44764,1.06532,0.97116,0.975,0.99075,0.83044,0.63451,0.40382,1.0489,0.00125992,0.00125992,0.00125992
76,2836.1,0.6499,0.43528,1.05838,0.9943,0.96079,0.99272,0.8378,0.65165,0.41426,1.04933,0.00125442,0.00125442,0.00125442
77,2870.05,0.65264,0.43012,1.07245,0.96989,0.97365,0.99243,0.84375,0.63321,0.40115,1.02245,0.00124892,0.00124892,0.00124892
78,2904.39,0.67173,0.43674,1.08195,0.98736,0.96519,0.9892,0.83125,0.63777,0.39532,1.02282,0.00124342,0.00124342,0.00124342
79,2938.54,0.63219,0.42641,1.05169,0.97173,0.95993,0.98893,0.84226,0.62117,0.3939,1.0178,0.00123791,0.00123791,0.00123791
80,2973.05,0.65546,0.43368,1.0541,0.98414,0.94478,0.98892,0.84288,0.60681,0.38439,1.01154,0.00123241,0.00123241,0.00123241
81,3007.49,0.63828,0.42952,1.05737,0.99355,0.96086,0.99167,0.85311,0.59602,0.39401,1.00655,0.00122691,0.00122691,0.00122691
82,3042.13,0.64719,0.43461,1.05006,0.97659,0.97293,0.98507,0.84603,0.62974,0.39699,1.01547,0.00122141,0.00122141,0.00122141
83,3076.48,0.65448,0.44353,1.06769,0.99556,0.96726,0.98978,0.85858,0.58824,0.388,0.99338,0.00121591,0.00121591,0.00121591
84,3110.92,0.62677,0.4261,1.03018,0.99258,0.95551,0.98872,0.85755,0.61862,0.39689,1.00282,0.00121041,0.00121041,0.00121041
85,3145.07,0.64667,0.44338,1.06642,0.99306,0.96128,0.99262,0.85144,0.6198,0.38559,0.99955,0.00120491,0.00120491,0.00120491
86,3180.07,0.62417,0.40798,1.05164,0.97862,0.9725,0.99262,0.85821,0.60232,0.379,0.99842,0.00119941,0.00119941,0.00119941
87,3214.88,0.62597,0.42086,1.03723,0.97495,0.975,0.98978,0.84991,0.61394,0.39545,1.00548,0.00119391,0.00119391,0.00119391
88,3249.31,0.62757,0.41392,1.05313,0.99908,0.97261,0.98943,0.852,0.59496,0.37224,1.00674,0.0011884,0.0011884,0.0011884
89,3283.47,0.60244,0.4006,1.02999,0.99459,0.975,0.98903,0.84627,0.60414,0.37857,1.00665,0.0011829,0.0011829,0.0011829
90,3317.88,0.64527,0.42958,1.06422,0.98652,0.97083,0.98865,0.84677,0.60583,0.38285,1.01838,0.0011774,0.0011774,0.0011774
91,3352.18,0.60472,0.41591,1.03201,0.9838,0.98048,0.98897,0.84029,0.5908,0.36405,1.00383,0.0011719,0.0011719,0.0011719
92,3387.3,0.60183,0.41197,1.02709,0.97652,0.96069,0.99206,0.85044,0.59031,0.37997,1.01819,0.0011664,0.0011664,0.0011664
93,3422.4,0.62069,0.40758,1.02269,0.98166,0.96717,0.99099,0.84879,0.61665,0.39871,1.01656,0.0011609,0.0011609,0.0011609
94,3457.09,0.60942,0.42109,1.03348,0.97341,0.97106,0.99182,0.83927,0.61136,0.38665,1.00092,0.0011554,0.0011554,0.0011554
95,3491.49,0.60225,0.40408,0.99986,0.97368,0.94543,0.98979,0.85121,0.61271,0.39836,1.01033,0.0011499,0.0011499,0.0011499
96,3526.15,0.58883,0.39808,0.98922,0.97664,0.97917,0.99118,0.85614,0.61224,0.38614,0.99413,0.0011444,0.0011444,0.0011444
97,3562.74,0.60388,0.41534,1.01238,0.98814,0.97803,0.98906,0.86953,0.5708,0.36522,0.98986,0.00113889,0.00113889,0.00113889
98,3597.58,0.59359,0.39663,1.01913,0.95842,0.97817,0.98149,0.85127,0.59493,0.38736,1.01057,0.00113339,0.00113339,0.00113339
99,3632.96,0.59942,0.40993,1.03131,0.9834,0.97822,0.98784,0.8549,0.60898,0.3981,1.01515,0.00112789,0.00112789,0.00112789
100,3668.99,0.57101,0.39079,1.00156,0.98719,0.96006,0.98764,0.85085,0.61072,0.38778,1.0185,0.00112239,0.00112239,0.00112239
