epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,198.096,1.55892,1.62292,2.26644,0.00347,0.75,0.00752,0.00165,3.56405,4.00832,3.58455,0.000713,0.000713,0.000713
67,200.405,1.71535,1.8335,2.43937,0.00347,0.75,0.00752,0.00165,3.56405,4.00832,3.58455,0.0006932,0.0006932,0.0006932
68,203.727,1.44947,1.80254,1.98396,0.008,0.75,0.25352,0.0503,3.40612,3.84281,3.48614,0.0006734,0.0006734,0.0006734
69,205.896,3.39219,3.06213,3.2414,0.008,0.75,0.25352,0.0503,3.40612,3.84281,3.48614,0.0006536,0.0006536,0.0006536
70,208.792,2.26915,1.61657,2.35763,0.00829,0.75,0.25382,0.07685,2.96037,3.35298,3.23252,0.0006338,0.0006338,0.0006338
71,210.973,1.70034,1.94621,2.71574,0.00829,0.75,0.25382,0.07685,2.96037,3.35298,3.23252,0.000614,0.000614,0.000614
72,214.156,1.61024,1.51103,1.76206,0.34623,0.25,0.55038,0.28636,2.3193,2.87381,2.91786,0.0005942,0.0005942,0.0005942
73,216.688,1.44557,1.72389,2.02294,0.34623,0.25,0.55038,0.28636,2.3193,2.87381,2.91786,0.0005744,0.0005744,0.0005744
74,220.263,0.94206,2.57155,1.15963,0.61526,0.42289,0.69692,0.36479,2.0142,2.39618,2.72718,0.0005546,0.0005546,0.0005546
75,222.803,2.27124,2.60585,2.75662,0.61526,0.42289,0.69692,0.36479,2.0142,2.39618,2.72718,0.0005348,0.0005348,0.0005348
76,226,1.45534,1.32267,1.87937,0.69833,0.75,0.76286,0.39278,2.03531,2.18996,2.66875,0.000515,0.000515,0.000515
77,228.481,1.23853,1.26327,1.56322,0.69833,0.75,0.76286,0.39278,2.03531,2.18996,2.66875,0.0004952,0.0004952,0.0004952
78,231.966,2.02392,1.48028,1.99628,1,0.99207,0.995,0.4445,2.09254,2.07754,2.58895,0.0004754,0.0004754,0.0004754
79,234.385,1.45605,1.42795,2.08433,1,0.99207,0.995,0.4445,2.09254,2.07754,2.58895,0.0004556,0.0004556,0.0004556
80,239.62,1.75109,1.42859,2.20651,0.9671,1,0.995,0.46,2.01626,1.89372,2.49697,0.0004358,0.0004358,0.0004358
81,242.053,2.85065,2.97708,2.74172,0.9671,1,0.995,0.46,2.01626,1.89372,2.49697,0.000416,0.000416,0.000416
82,245.532,1.91048,1.5857,2.17229,0.97343,1,0.995,0.50975,1.86653,1.71471,2.42675,0.0003962,0.0003962,0.0003962
83,247.859,1.27718,1.31961,1.78212,0.97343,1,0.995,0.50975,1.86653,1.71471,2.42675,0.0003764,0.0003764,0.0003764
84,251.005,1.47638,2.10232,2.74113,0.98354,1,0.995,0.52429,1.7402,1.47177,2.34881,0.0003566,0.0003566,0.0003566
85,253.355,1.96007,1.42561,2.15492,0.98354,1,0.995,0.52429,1.7402,1.47177,2.34881,0.0003368,0.0003368,0.0003368
86,256.497,2.62445,1.74736,2.51919,0.97993,1,0.995,0.53654,1.70066,1.37467,2.29468,0.000317,0.000317,0.000317
87,258.853,1.4917,1.33585,1.9682,0.97993,1,0.995,0.53654,1.70066,1.37467,2.29468,0.0002972,0.0002972,0.0002972
88,261.958,1.64548,1.44465,2.31112,0.96968,1,0.995,0.56767,1.6464,1.31669,2.25135,0.0002774,0.0002774,0.0002774
89,264.318,1.2658,1.33205,1.69472,0.96968,1,0.995,0.56767,1.6464,1.31669,2.25135,0.0002576,0.0002576,0.0002576
90,267.328,1.28504,1.10404,1.68363,0.9758,1,0.995,0.59446,1.57683,1.27754,2.20393,0.0002378,0.0002378,0.0002378
91,269.836,2.28611,1.77063,2.31609,0.9758,1,0.995,0.59446,1.57683,1.27754,2.20393,0.000218,0.000218,0.000218
92,273.063,2.88241,2.78763,2.54533,0.97581,1,0.995,0.61104,1.50536,1.27329,2.16108,0.0001982,0.0001982,0.0001982
93,275.408,1.75664,1.68027,1.93916,0.97581,1,0.995,0.61104,1.50536,1.27329,2.16108,0.0001784,0.0001784,0.0001784
94,278.518,1.62388,1.88348,1.70475,0.9781,1,0.995,0.61104,1.43522,1.26676,2.12474,0.0001586,0.0001586,0.0001586
95,280.849,1.43197,1.50164,2.04141,0.9781,1,0.995,0.61104,1.43522,1.26676,2.12474,0.0001388,0.0001388,0.0001388
96,283.844,1.28685,1.4072,1.68368,0.97942,1,0.995,0.609,1.40187,1.25742,2.1095,0.000119,0.000119,0.000119
97,286.168,1.7148,1.61929,2.42584,0.97942,1,0.995,0.609,1.40187,1.25742,2.1095,9.92e-05,9.92e-05,9.92e-05
98,288.611,1.06912,1.2367,1.82924,0.9796,1,0.995,0.65263,1.35619,1.24895,2.07688,7.94e-05,7.94e-05,7.94e-05
99,291.212,1.35313,1.3646,1.73603,0.9796,1,0.995,0.65263,1.35619,1.24895,2.07688,5.96e-05,5.96e-05,5.96e-05
100,293.972,0.9955,1.24203,1.54944,0.98011,1,0.995,0.67117,1.2869,1.2241,2.02658,3.98e-05,3.98e-05,3.98e-05
